multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),AllC,AllC,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllD,0,0.0,1000.0,1.0,0.0,200
Constant(1),AllC,Random,0,267.0,822.0,1.0,0.445,200
Constant(1),AllC,TfT,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,SuspiciousTfT,0,597.0,602.0,1.0,0.995,200
Constant(1),AllC,TFT2,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Grim,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,GenerousTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,ContriteTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Pavlov,0,600.0,600.0,1.0,1.0,200
Constant(1),AllD,AllC,0,1000.0,0.0,0.0,1.0,200
Constant(1),AllD,AllD,0,200.0,200.0,0.0,0.0,200
Constant(1),AllD,Random,0,556.0,111.0,0.0,0.445,200
Constant(1),AllD,TfT,0,204.0,199.0,0.0,0.005,200
Constant(1),AllD,SuspiciousTfT,0,200.0,200.0,0.0,0.0,200
Constant(1),AllD,TFT2,0,208.0,198.0,0.0,0.01,200
Constant(1),AllD,Grim,0,204.0,199.0,0.0,0.005,200
Constant(1),AllD,GenerousTfT,0,288.0,178.0,0.0,0.11,200
Constant(1),AllD,ContriteTfT,0,204.0,199.0,0.0,0.005,200
Constant(1),AllD,Pavlov,0,600.0,100.0,0.0,0.5,200
Constant(1),Random,AllC,0,822.0,267.0,0.445,1.0,200
Constant(1),Random,AllD,0,111.0,556.0,0.445,0.0,200
Constant(1),Random,Random,0,378.0,378.0,0.445,0.445,200
Constant(1),Random,TfT,0,427.0,422.0,0.445,0.45,200
Constant(1),Random,SuspiciousTfT,0,423.0,423.0,0.445,0.445,200
Constant(1),Random,TFT2,0,588.0,353.0,0.445,0.68,200
Constant(1),Random,Grim,0,115.0,555.0,0.445,0.005,200
Constant(1),Random,GenerousTfT,0,482.0,402.0,0.445,0.525,200
Constant(1),Random,ContriteTfT,0,427.0,422.0,0.445,0.45,200
Constant(1),Random,Pavlov,0,458.0,418.0,0.445,0.485,200
Constant(1),TfT,AllC,0,600.0,600.0,1.0,1.0,200
Constant(1),TfT,AllD,0,199.0,204.0,0.005,0.0,200
Constant(1),TfT,Random,0,422.0,427.0,0.45,0.445,200
Constant(1),TfT,TfT,0,600.0,600.0,1.0,1.0,200
Constant(1),TfT,SuspiciousTfT,0,500.0,500.0,0.5,0.5,200
Constant(1),TfT,TFT2,0,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Grim,0,600.0,600.0,1.0,1.0,200
Constant(1),TfT,GenerousTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),TfT,ContriteTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Pavlov,0,600.0,600.0,1.0,1.0,200
Constant(1),SuspiciousTfT,AllC,0,602.0,597.0,0.995,1.0,200
Constant(1),SuspiciousTfT,AllD,0,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,Random,0,423.0,423.0,0.445,0.445,200
Constant(1),SuspiciousTfT,TfT,0,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,SuspiciousTfT,0,200.0,200.0,0.0,0.0,200
