horizon,strategy,mean_total,std_total
10,AllC,32.56018823477463,0.0
10,AllD,24.030517093572968,0.0
10,ContriteTfT,33.947354870148686,0.0
10,GenerousTfT,33.16685725166977,0.0
10,Grim,32.67744359602766,0.0
10,Pavlov,32.18094266566241,0.0
10,Random,27.183218278324507,0.0
10,SuspiciousTfT,26.52804642745205,0.0
10,TFT2,33.965267524686894,0.0
10,TfT,33.947354870148686,0.0
50,AllC,730.0014590061477,0.0
50,AllD,247.3890509858416,0.0
50,ContriteTfT,704.2451271647415,0.0
50,GenerousTfT,732.6779248957884,0.0
50,Grim,661.544258588119,0.0
50,Pavlov,684.1443453723796,0.0
50,Random,346.4525863970996,0.0
50,SuspiciousTfT,444.65068881340613,0.0
50,TFT2,734.5424579157592,0.0
50,TfT,704.2451271647415,0.0
100,AllC,13982.71536276176,0.0
100,AllD,2010.838132511369,0.0
100,ContriteTfT,12821.868938912747,0.0
100,GenerousTfT,13759.910455593441,0.0
100,Grim,12105.653164241463,0.0
100,Pavlov,12455.049890458864,0.0
100,Random,3778.5892413821803,0.0
100,SuspiciousTfT,6831.232869201853,0.0
100,TFT2,13880.86708203372,0.0
100,TfT,12821.868938912747,0.0
200,AllC,4679070.717305427,0.0
200,AllD,188737.3868646742,0.0
200,ContriteTfT,4137627.5705556506,0.0
200,GenerousTfT,4594341.866185026,0.0
200,Grim,4035641.813883487,0.0
200,Pavlov,4064501.984507124,0.0
200,Random,517165.27975868277,0.0
200,SuspiciousTfT,1879911.6772809888,0.0
200,TFT2,4634317.185701627,0.0
200,TfT,4137627.5705556506,0.0
500,AllC,180702886200159.7,0.0
500,AllD,393624057239.32733,0.0
500,ContriteTfT,157609778554413.38,0.0
500,GenerousTfT,178456891424066.62,0.0
500,Grim,157398687898079.53,0.0
500,Pavlov,157411282227210.34,0.0
500,Random,2774488658883.499,0.0
500,SuspiciousTfT,65983499617674.11,0.0
500,TFT2,179748575240779.7,0.0
500,TfT,157609778554413.38,0.0
1000,AllC,8.084953839103647e+26,0.0
1000,AllD,1.5463200861608603e+22,0.0
1000,ContriteTfT,7.078450421771968e+26,0.0
1000,GenerousTfT,8.024651202178566e+26,0.0
1000,Grim,7.07837079572474e+26,0.0
1000,Pavlov,7.078371340410624e+26,0.0
1000,Random,1.106614165933004e+24,0.0
1000,SuspiciousTfT,2.9497429925943382e+26,0.0
1000,TFT2,8.080062784969362e+26,0.0
1000,TfT,7.078450421771968e+26,0.0
