multiplier,generation,strategy,share
Constant(1),0,AllC,0.1
Constant(1),0,AllD,0.1
Constant(1),0,Random,0.1
Constant(1),0,TfT,0.1
Constant(1),0,SuspiciousTfT,0.1
Constant(1),0,TFT2,0.1
Constant(1),0,Grim,0.1
Constant(1),0,GenerousTfT,0.1
Constant(1),0,ContriteTfT,0.1
Constant(1),0,Pavlov,0.1
Constant(1),1,AllC,0.10370886153720126
Constant(1),1,AllD,0.07503737533023408
Constant(1),1,Random,0.08664932724405579
Constant(1),1,TfT,0.10897212721948024
Constant(1),1,SuspiciousTfT,0.08662884761105083
Constant(1),1,TFT2,0.10952507731061459
Constant(1),1,Grim,0.10561346740666408
Constant(1),1,GenerousTfT,0.110057547768744
Constant(1),1,ContriteTfT,0.10897212721948024
Constant(1),1,Pavlov,0.10483524135247495
Constant(1),2,AllC,0.10720845718614806
Constant(1),2,AllD,0.054224787587630226
Constant(1),2,Random,0.07386535227700969
Constant(1),2,TfT,0.1169251348275206
Constant(1),2,SuspiciousTfT,0.07420240723374837
Constant(1),2,TFT2,0.1180242252219754
Constant(1),2,Grim,0.11037230004569099
Constant(1),2,GenerousTfT,0.11913568859269741
Constant(1),2,ContriteTfT,0.1169251348275206
Constant(1),2,Pavlov,0.10911651220005861
Constant(1),3,AllC,0.11036854527364212
Constant(1),3,AllD,0.037909894328914805
Constant(1),3,Random,0.06205053609836712
Constant(1),3,TfT,0.12370835649047683
Constant(1),3,SuspiciousTfT,0.06292103221507118
Constant(1),3,TFT2,0.1253294830213798
Constant(1),3,Grim,0.11421784981915946
Constant(1),3,GenerousTfT,0.12703236190999487
Constant(1),3,ContriteTfT,0.1237083564904768
Constant(1),3,Pavlov,0.11275358435251684
Constant(1),4,AllC,0.1131252751800422
Constant(1),4,AllD,0.02577737585588987
Constant(1),4,Random,0.05147770292792475
Constant(1),4,TfT,0.12931841163849184
Constant(1),4,SuspiciousTfT,0.052913511996555
Constant(1),4,TFT2,0.13142492413182857
